audit_id	batch	stratum	human_isocolonic	gemini_isocolonic	gemini_formal_parallelism	gemini_rhetorically_relevant	gemini_comparison_or_coordination	gemini_false_positive_flags	gemini_confidence	gemini_reason	unit1_text	unit2_text
QA013	batch1	typical_broad_non_narrow	uncertain	no	weak	no	yes	none	0.85	Coordinated VPs with weak syntactic parallelism and uneven length.	Both teams start from the edges	and attempt to obtain the quaffle and bludgers.
QA018	batch1	narrow_mixed	yes	no	weak	no	yes	none	0.90	Semantic contrast but lacks syntactic or formal parallelism.	knowing how to blink;	nobody has to teach us.
QA019	batch1	narrow_mixed	yes	no	weak	yes	yes	none	0.90	Standard comparative subclause without parallel syntactic styling.	The ultimate result of workers <*> is that society as a whole can produce and consume far more	than if each person tried to produce all of his or her own goods and services.
QA030	batch1	high_non_target	yes	no	strong	no	no	repetition;dialogue_formula	0.85	Question-answer dialogic repetition of the predicate.	Did I make him aggressive?	Yeah, you made him aggressive,
QA040	batch1	baseline_non_target	yes	no	weak	yes	yes	none	0.95	Syntactically asymmetrical modifier and main clause; not an isocolon.	Most prolific during the 1960s,	Moreau continued to appear in films into her 80s.
QB007	batch2	mid_broad_target	yes	no	weak	no	yes	none	0.90	Narrative progression with some lexical overlap, but lacks a balanced parallel frame.	I heard a noise like paper.	My father heard it, too,
QB010	batch2	mid_broad_target	yes	no	weak	no	no	dialogue_formula	0.90	Narrative/dialogic continuation with weak syntactic similarity.	Aren’t they supposed to have a pot of gold or something?	And they have to tell you where it is
QB011	batch2	mid_broad_target	yes	no	weak	no	yes	none	0.85	Sequential descriptive clauses about an object; lacks parallel styling.	it fits three people quite comfortably,	and <*> it opens up into a full double bed.
QB017	batch2	narrow_antithesis_contrast	yes	no	weak	yes	yes	none	0.90	Semantic contrast of transportation methods, but lacks a parallel syntactic frame.	Tåsinge, Langeland and a few of the smaller islands are connected with bridges,	but to most of the islands transportation is done with tiny ferries
QB021	batch2	dialogue_echo_candidate	uncertain	no	weak	no	no	repetition;dialogue_formula	0.90	Dialogue self-repair and echo; not a rhetorical figure.	I kn- —	Oh oh I know.
QB026	batch2	dialogue_echo_candidate	uncertain	no	moderate	no	no	repetition;dialogue_formula	0.90	Dialogic repetition/clarification of a statement.	There's a hole in it.	Well, there's a hole,
QB032	batch2	high_non_target_artifact	uncertain	yes	strong	yes	yes	template_or_quote	0.80	Highly parallel biographical formulas framing a lifespan.	Born 23 January 1928 Paris, France	Died 31 July 2017 <*> Paris, France
