audit_id	stratum	doc	genre	orig_label	isocolon_score	unit1_text	unit2_text	context_window	human_isocolonic	formal_parallelism	rhetorically_relevant	genuine_comparison_or_coordination	false_positive_repetition	false_positive_list_formatting	false_positive_dialogue_formula	false_positive_template_or_quote	bad_segmentation	yes_votes	no_votes	uncertain_votes	majority_is_isocolonic	majority_formal_parallelism	top_false_positive_flags
QA007	high_broad_non_narrow	GUM_podcast_wrestling	podcast	joint-disjunction	0.8977	Three days.	Four days.	in a year ? 365 days , so he was there one out of – c’m on . [1:Three] [1:days] [1:.] [2:Four] [2:days] [2:.] He made two appearances . I mean , I mean , OK , think about it like this	yes	strong	uncertain	yes	no	no	no	no	no	0	2	2	no/uncertain	weak	list_formatting:1; dialogue_formula:1
QA011	typical_broad_non_narrow	GUM_news_questionnaire	news	joint-list	0.428	who don't have access to legal advice	"and don't speak English."""	"expect people to complete a lengthy form only in English in a matter of weeks especially for those [1:who] [1:do] [1:n't] [1:have] [1:access] [1:to] [1:legal] [1:advice] [2:and] [2:do] [2:n't] [2:speak] [2:English] [2:.] [2:""] During Prime Minister 's Questions Wednesday , Sunak defended the government 's record whilst promising a "" formal"	yes	moderate	yes	yes	no	no	no	no	no	0	1	3	uncertain	weak	
QA013	typical_broad_non_narrow	GUM_whow_quidditch	whow	joint-list	0.3698	Both teams start from the edges	and attempt to obtain the quaffle and bludgers.	should be slightly deflated so that they are easier to throw and catch . Start the game . [1:Both] [1:teams] [1:start] [1:from] [1:the] [1:edges] [2:and] [2:attempt] [2:to] [2:obtain] [2:the] [2:quaffle] [2:and] [2:bludgers] [2:.] Follow your duty depending what type of player you are : Chasers try to score by throwing the	uncertain	weak	uncertain	yes	no	no	no	no	no	0	4	0	no	weak	list_formatting:1
QA014	typical_broad_non_narrow	GUM_academic_economics	academic	joint-list	0.3802	The state must protect property rights,	provide public services,	] . Of course , the state takes a lead role in promoting this type of institution . [1:The] [1:state] [1:must] [1:protect] [1:property] [1:rights] [1:,] [2:provide] [2:public] [2:services] [2:,] and ensure a sound judiciary . It is responsible also for imposing order and promoting a climate of	yes	strong	yes	yes	no	no	no	no	no	1	2	1	no	moderate	list_formatting:2
QA016	typical_broad_non_narrow	GUM_speech_open	speech	joint-list	0.4077	The Master plan <*> will completely transform government processes, services and management,	and make information access and service delivery more efficient.	that will set the pace for progression of the country in ICT for the next five years . [1:The] [1:Master] [1:plan] – once fully rolled out – [1:will] [1:completely] [1:transform] [1:government] [1:processes] [1:,] [1:services] [1:and] [1:management] [1:,] [2:and] [2:make] [2:information] [2:access] [2:and] [2:service] [2:delivery] [2:more] [2:efficient] [2:.] Again , the Master plan , with the flagship projects to pilot its implementation , will steer the	yes	strong	yes	yes	no	no	no	no	no	1	3	0	no	weak	
QA018	narrow_mixed	GUM_textbook_anthropology	textbook	adversative-antithesis	0.4928	knowing how to blink;	nobody has to teach us.	to humans everywhere . Humans blink to keep eyes hydrated and clear of debris . Humans are born [1:knowing] [1:how] [1:to] [1:blink] [1:;] [2:nobody] [2:has] [2:to] [2:teach] [2:us] [2:.] On average , humans blink 15 to 20 times every minute . Without realizing it , people are	yes	weak	yes	yes	no	no	no	no	no	0	4	0	no	weak	
QA019	narrow_mixed	GUM_textbook_labor	textbook	adversative-antithesis	0.3804	The ultimate result of workers <*> is that society as a whole can produce and consume far more	than if each person tried to produce all of his or her own goods and services.	and workers performing specialized tasks , and the average cost of production per car will be lower . [1:The] [1:ultimate] [1:result] [1:of] [1:workers] who can focus on their preferences and talents , learn to do their specialized jobs better , and work in larger organizations [1:is] [1:that] [1:society] [1:as] [1:a] [1:whole] [1:can] [1:produce] [1:and] [1:consume] [1:far] [1:more] [2:than] [2:if] [2:each] [2:person] [2:tried] [2:to] [2:produce] [2:all] [2:of] [2:his] [2:or] [2:her] [2:own] [2:goods] [2:and] [2:services] [2:.] The division and specialization of labor has been a force against the problem of scarcity .	yes	weak	yes	yes	no	no	no	no	no	0	4	0	no	none/weak	
QA021	narrow_mixed	GUM_podcast_brave	podcast	adversative-contrast	0.5524	It's like our modern thing	but in a medieval way.	sort of , oh it 's it 's like that but it 's like voicemail . Yeah . [1:It] [1:'s] [1:like] [1:our] [1:modern] [1:thing] [2:but] [2:in] [2:a] [2:medieval] [2:way] [2:.] Yeah . Yeah , it 's , it 's you know because you 've seen the Shrek movies	yes	moderate	yes	yes	no	no	no	no	no	0	0	4	uncertain	moderate/weak	
QA028	high_non_target	GUM_conversation_family	conversation	topic-question	0.8454	You ever do?	I only do	na put lemon in your hot tea ? I do n't put lemon in my hot tea , [1:You] [1:ever] [1:do] [1:?] [2:I] [2:only] [2:do] when I have a sore throat . I usually d- have , yeah , that 's good .	yes	strong	yes	yes	no	no	no	no	no	0	4	0	no	weak	dialogue_formula:4
QA030	high_non_target	GUM_conversation_risk	conversation	topic-question	0.8333	Did I make him aggressive?	Yeah, you made him aggressive,	is aggressive , so he 's gon na like go for everything . How do you know ? [1:Did] [1:I] [1:make] [1:him] [1:aggressive] [1:?] [2:Yeah] [2:,] [2:you] [2:made] [2:him] [2:aggressive] [2:,] so , he 's gon na like , try to tear everything up now . Um , that	yes	strong	yes	yes	no	no	no	no	no	0	4	0	no	moderate	dialogue_formula:4; repetition:2
