audit_id	agent	is_isocolonic	formal_parallelism	rhetorically_relevant	genuine_comparison_or_coordination	false_positive_flags	bad_segmentation	confidence	short_reason
QA001	gemini_80	no	strong	no	no	repetition;template_or_quote	no	1.00	Exact repetition of redacted template text.
QA002	gemini_80	yes	strong	yes	yes	none	no	1.00	Perfect syntactic frame with slot substitution.
QA003	gemini_80	yes	strong	yes	yes	none	no	1.00	Parallel structure with slot substitution.
QA004	gemini_80	yes	strong	yes	yes	none	no	1.00	Classic parallel structures with slot substitution.
QA005	gemini_80	yes	strong	yes	yes	none	no	1.00	Chiasmus with strong syntactic and lexical parallelism.
QA006	gemini_80	no	strong	no	yes	list_formatting;template_or_quote	no	0.95	Mathematical proof syntax, formulaic rather than rhetorical.
QA007	gemini_80	yes	strong	yes	yes	none	no	0.90	Short units with clear parallel structure and numerical contrast.
QA008	gemini_80	yes	strong	yes	yes	none	no	1.00	Famous parallel poetic lines (Invictus).
QA009	gemini_80	yes	strong	yes	yes	none	no	1.00	Strong syntactic frame with contrastive slot substitution.
QA010	gemini_80	yes	strong	yes	yes	none	no	1.00	Classic parallel structure with slot substitution.
QA011	gemini_80	yes	moderate	yes	yes	none	no	0.90	Parallel coordinated verb phrases modifying the same referent.
QA012	gemini_80	no	weak	no	yes	none	no	0.95	Weak formal similarity; conversational comments without parallel syntax.
QA013	gemini_80	no	weak	no	yes	none	no	0.85	Coordinated VPs with weak syntactic parallelism and uneven length.
QA014	gemini_80	yes	strong	yes	yes	none	no	0.95	Parallel bare infinitives in a list under 'must'.
QA015	gemini_80	yes	moderate	yes	yes	none	no	0.90	Correlative coordination with ellipsis in the second member.
QA016	gemini_80	yes	moderate	yes	yes	none	no	0.85	Coordinated VPs with similar length and function, though internal syntax varies.
QA017	gemini_80	no	none	no	no	list_formatting	no	1.00	Redacted text representing formatting layout.
QA018	gemini_80	no	weak	no	yes	none	no	0.90	Semantic contrast but lacks syntactic or formal parallelism.
QA019	gemini_80	no	weak	yes	yes	none	no	0.90	Standard comparative subclause without parallel syntactic styling.
QA020	gemini_80	no	weak	yes	yes	none	no	0.95	Concessive clause; no syntactic parallelism.
QA021	gemini_80	yes	moderate	yes	yes	none	no	0.90	Contrasting prepositional phrases with slot substitution (modern thing vs medieval way).
QA022	gemini_80	no	weak	yes	yes	none	no	0.95	Alternative coordination with weak formal parallelism.
QA023	gemini_80	no	strong	no	no	repetition	no	1.00	Exact repetition of a single word.
QA024	gemini_80	no	moderate	no	no	repetition	no	0.90	Repetition/permutation of the same word list.
QA025	gemini_80	yes	strong	yes	yes	none	no	1.00	Highly parallel gerund headings with slot substitution.
QA026	gemini_80	no	strong	no	no	repetition	no	1.00	Direct repetition of a single word in dialogue.
QA027	gemini_80	no	moderate	no	no	repetition;dialogue_formula	no	0.95	Dialogue self-correction/repair.
QA028	gemini_80	yes	strong	yes	yes	none	no	0.90	Parallel structure in dialogue turn with matched slots (You ever do / I only do).
QA029	gemini_80	no	none	yes	no	none	no	1.00	Appositive relation (Name and Title) with no formal parallelism.
QA030	gemini_80	no	strong	no	no	repetition;dialogue_formula	no	0.85	Question-answer dialogic repetition of the predicate.
QA031	gemini_80	no	strong	no	no	repetition	no	1.00	Exact repetition of a single number word.
QA032	gemini_80	no	strong	no	no	repetition	no	1.00	Exact repetition of a noun phrase.
QA033	gemini_80	no	strong	no	no	repetition	no	1.00	Exact repetition of a greeting/exclamation.
