audit_id	agent	agree_with_human	preferred_human_isocolonic	preferred_formal_parallelism	preferred_rhetorically_relevant	preferred_comparison_or_coordination	key_reason	what_would_change_my_mind
QA007	codex_adjudicator_1	no	uncertain	strong	uncertain	uncertain	Strong minimal lexical frame but likely a repair or self-correction rather than a stable two-member rhetorical contrast.	A wider transcript segment showing deliberate contrasted counting rather than correction would support yes.
QA011	codex_adjudicator_1	yes	yes	moderate	yes	yes	Coordinated negative predicates under a shared head create a recognizable parallel list of vulnerable groups.	If the second unit is actually detached quote noise and not part of the same coordination I would downgrade.
QA013	codex_adjudicator_1	no	no	weak	no	yes	This is mainly a single clause with coordinated predicates and omitted subject in unit2, not a marked balanced pair.	Clear prosodic or punctuational framing of two intentionally balanced cola would move this to uncertain or yes.
QA014	codex_adjudicator_1	yes	yes	strong	yes	yes	Shared governing frame with VP slot substitution supports strong formal parallelism in a policy-duty list.	If surrounding syntax shows unit2 as parser spillover rather than intended coordination I would reduce confidence.
QA016	codex_adjudicator_1	yes	yes	strong	yes	yes	Two coordinated predicate members under one subject and modal produce clear constructional parallelism with rhetorical accumulation.	If punctuation or repair structure shows this was disfluent continuation rather than planned coordination I would downgrade.
QA018	codex_adjudicator_1	yes	yes	weak	yes	yes	The semicolon pair contrasts innate capacity and absence of instruction, with light formal echo through to-infinitival patterning.	If additional context shows the first unit is just a dangling complement from prior material I would lower to uncertain.
QA019	codex_adjudicator_1	no	no	weak	yes	yes	The than-if segment is a comparative standard dependent on far more, rhetorically comparative but not a balanced parallel colon pair.	If evidence shows intentional two-part periodic balancing beyond ordinary comparative syntax I would reconsider.
QA021	codex_adjudicator_1	no	uncertain	weak	yes	yes	There is meaningful modern versus medieval contrast but only loose partial form matching between an it is like clause and a PP fragment.	More surrounding turns showing a deliberate echoed template would support a yes decision.
QA028	codex_adjudicator_1	no	no	weak	no	no	This looks like ordinary question-answer exchange with minimal do echo, not a rhetorically shaped parallel construction.	If the discourse extends the pair into explicit contrastive or serially parallel echo I would move to uncertain.
QA030	codex_adjudicator_1	no	no	strong	no	no	High overlap is largely confirmatory dialogic repetition of the question in the answer, not isocolonic rhetorical pairing.	If speaker intent or larger context frames the repetition as crafted antithesis rather than confirmation I would reconsider.
QA040	codex_adjudicator_1	no	no	weak	yes	yes	Temporal concession is rhetorically meaningful but the units are asymmetrical phrase versus clause without strong parallel form.	If nearby text reveals an explicit balanced temporal template I would upgrade toward uncertain or yes.
