audit_id	stratum	source_row	doc	collection	genre	orig_label	rel_type	same_sentence	unit1_ends_colon	unit1_ends_semicolon	isocolon_score	length_score	syntax_score	lexical_score	word_len_1	word_len_2	unit1_text	unit2_text	human_isocolonic	formal_parallelism	rhetorically_relevant	genuine_comparison_or_coordination	false_positive_repetition	false_positive_list_formatting	false_positive_dialogue_formula	false_positive_template_or_quote	bad_segmentation	notes
QB001	high_broad_target	2470	GUM_speech_impeachment	GUM	speech	joint-list	implicit	0	0	0	0.9313	1.0	1.0	0.5417	4	4	There was no lobbying.	There was no pressure.										
QB002	high_broad_target	907	GENTLE_syllabus_opensource	GENTLE	syllabus	joint-list	implicit	0	0	0	0.8868	0.9357	1.0	0.4167	2	2	Scientific Computing	Statistical Computing										
QB003	high_broad_target	9880	GUM_interview_dungeon	GUM	interview	joint-list	implicit	1	0	0	0.8789	0.9348	0.9333	0.5667	5	5	Who's buying the paper,	who's selling the paper.										
QB004	high_broad_target	9196	GUM_fiction_pag	GUM	fiction	joint-list	implicit	1	0	0	0.8786	0.9778	1.0	0.25	2	2	without thinking,	without looking										
QB005	high_broad_target	3473	GUM_essay_system	GUM	essay	joint-list	implicit	1	0	0	0.8747	0.9524	0.9167	0.5417	4	4	“If you want sex,	if you want drugs,										
QB006	high_broad_target	4335	GUM_textbook_chemistry	GUM	textbook	joint-list	implicit	0	0	0	0.8741	0.8727	0.9167	0.75	12	11	The starting materials consist of four green spheres and two purple spheres.	The products consist of four green spheres and two purple spheres.										
QB007	mid_broad_target	1809	GUM_fiction_beast	GUM	fiction	joint-list	implicit	0	0	0	0.4297	0.8492	0.1667	0.1	6	5	I heard a noise like paper.	My father heard it, too,										
QB008	mid_broad_target	12457	GUM_podcast_movie	GUM	podcast	joint-list	explicit	1	0	0	0.4458	0.8438	0.2222	0.0556	9	9	Uh, Caleb, is a film student and, uh, writer,	and, uh, his dad's a friend of mine,										
QB009	mid_broad_target	11385	GUM_news_clock	GUM	news	joint-list	explicit	1	0	0	0.4231	0.7452	0.25	0.0833	12	9	Mohamed was a VIP guest at the Google Science Fair this weekend,	and was able to meet finalists at the event										
QB010	mid_broad_target	9346	GUM_fiction_sneeze	GUM	fiction	joint-list	explicit	0	0	0	0.421	0.6462	0.3056	0.1667	12	9	Aren’t they supposed to have a pot of gold or something?	And they have to tell you where it is										
QB011	mid_broad_target	4411	GUM_vlog_london	GUM	vlog	joint-list	explicit	1	0	0	0.4129	0.803	0.1852	0.0556	6	9	it fits three people quite comfortably,	and <*> it opens up into a full double bed.										
QB012	mid_broad_target	7462	GUM_court_equality	GUM	court	joint-list	explicit	1	0	0	0.3995	0.6238	0.3333	0.0	4	7	to create that consensus	and move towards a more equal future										
QB013	narrow_antithesis_contrast	16307	GUM_voyage_merida	GUM	voyage	adversative-contrast	implicit	1	0	0	0.6551	0.7564	0.6667	0.35	4	4	Daily 08:00 - 20:00,	Su 08:00 - 14:00.										
QB014	narrow_antithesis_contrast	4626	GUM_whow_cactus	GUM	whow	adversative-contrast	explicit	1	0	0	0.6222	0.7015	0.6667	0.2778	12	8	so that the broad sides of the cuttings face east and west	while the slim sides face north and south.										
QB015	narrow_antithesis_contrast	1233	GUM_academic_librarians	GUM	academic	adversative-antithesis	explicit	1	0	0	0.3634	0.5191	0.3333	0.0385	13	7	We are not setting out to turn them into programmers or data crunchers,	but want to boost their knowledge level										
QB016	narrow_antithesis_contrast	16585	GUM_voyage_tulsa	GUM	voyage	adversative-contrast	implicit	0	0	0	0.3582	0.4316	0.386	0.0789	19	9	Unlike major cities in the Northeast, the city bus is not a major form of transportation in the city.	It is usually a means of travel for those										
QB017	narrow_antithesis_contrast	16414	GUM_voyage_sydfynske	GUM	voyage	adversative-contrast	explicit	1	0	0	0.5835	0.8806	0.4615	0.1571	13	12	Tåsinge, Langeland and a few of the smaller islands are connected with bridges,	but to most of the islands transportation is done with tiny ferries										
QB018	narrow_antithesis_contrast	5086	GUM_academic_implicature	GUM	academic	adversative-antithesis	explicit	0	0	0	0.4428	0.8182	0.2281	0.086	14	19	The puppets <*> were picked specifically for this task with careful attention to their appearance.	Upon arrival at the school, however, it became clear that the children were not accustomed to playing with puppets										
