item_id	split	slot_index	value	n	pct_of_slot_labels	candidate_groups	combined_label	source
rstsc_s4_001	Full_Annotation	4	lexical_chain	5700	20.56	family_lexical;subtype_lexical_chain	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_002	Full_Annotation	4	repetition	1405	5.07	subtype_repetition	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_003	Full_Annotation	4	(lexical_chain+subject_np)	1042	3.76	family_lexical;subtype_lexical_chain	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_004	Full_Annotation	4	(repetition+subject_np)	972	3.51	subtype_repetition	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_005	Full_Annotation	4	(personal_reference+subject_np)	504	1.82	family_reference	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_006	Full_Annotation	4	(parallel_syntactic_constructions+lexical_chain)	409	1.48	family_lexical;family_syntactic;subtype_lexical_chain;subtype_parallel_syntactic_constructions	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_007	Full_Annotation	4	personal_reference	260	0.94	family_reference	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_008	Full_Annotation	4	comparative_reference	182	0.66	family_reference;subtype_comparative_reference	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_009	Full_Annotation	4	parallel_syntactic_constructions	149	0.54	family_syntactic;subtype_parallel_syntactic_constructions	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_010	Full_Annotation	4	demonstrative_reference	134	0.48	family_reference	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_011	Full_Annotation	4	(meronymy+subject_np)	84	0.30	subtype_meronymy	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_012	Full_Annotation	4	synonymy	38	0.14	subtype_synonymy	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_013	Full_Annotation	4	antonymy	37	0.13	subtype_antonymy	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_014	Full_Annotation	4	meronymy	34	0.12	subtype_meronymy	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_015	Full_Annotation	4	(demonstrative_reference+subject_np)	23	0.08	family_reference	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_016	Full_Annotation	4	(synonymy+subject_np)	22	0.08	subtype_synonymy	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_017	Full_Annotation	4	(propositional_reference+subject_np)	15	0.05	family_reference	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_018	Full_Annotation	4	propositional_reference	10	0.04	family_reference	False	data/derived/rst_sc_formal_signal_candidate_summary.tsv
rstsc_s4_019	Full_Annotation	4	(comparative_reference+subject_np)	1	0.00	family_reference;subtype_comparative_reference	True	data/derived/rst_sc_formal_signal_candidate_summary.tsv
